geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1450,-23.57776039301168,-46.68287624147377,sao paulo,SP
9710,-23.709996535588456,-46.54648163073148,são bernardo do campo,SP
89600,-27.167255203993328,-51.510217935599336,joacaba,SC
69151,-2.627648057008038,-56.7415192011693,parintins,AM
70237,-15.809651999999993,-47.8862505,brasília,DF
89295,-26.25097149942702,-49.52434143154531,rio negrinho,SC
13504,-22.39997377018299,-47.590972197068425,rio claro,SP
54759,-8.022677500692485,-34.98474526213291,camaragibe,PE
13560,-22.02739300582837,-47.88749011033519,sao carlos,SP
11010,-23.93388553205609,-46.32720266472387,santos,SP
40315,-12.966129366639732,-38.48072285844542,salvador,BA
38402,-18.87536586421473,-48.27799084812257,uberlandia,MG
14910,-21.73840721613154,-48.68207901191092,tabatinga,SP
89400,-26.251430003049894,-51.07944732338405,porto uniao,SC
6787,-23.62326098834324,-46.79889192007611,taboao da serra,SP
13150,-22.64161916697821,-47.19263442176802,cosmopolis,SP
20231,-22.909724436003383,-43.18630068971084,rio de janeiro,RJ
91210,-30.038770121011016,-51.1413231730624,porto alegre,RS
89665,-27.3456146670438,-51.60956681468733,capinzal,SC
78890,-12.54846520766685,-55.73914848475693,sorriso,MT
26580,-22.787408249546555,-43.42402303460332,mesquita,RJ
31975,-19.852275028305183,-43.88829911310516,belo horizonte,MG
89259,-26.5179233273673,-49.07978542435329,jaragua do sul,SC
86088,-23.26877019317328,-51.14525358713723,londrina,PR
23933,-22.96982110496669,-44.29323908312842,angra dos reis,RJ
15870,-21.056519117697825,-49.06168114744277,catigua,SP
7263,-23.463796316406,-46.4128501275319,guarulhos,SP
3307,-23.54277053067112,-46.57502313295623,são paulo,SP
45027,-14.88038754804167,-40.83193635296698,vitória da conquista,BA
35600,-19.74269231422417,-45.2601518050645,bom despacho,MG
90620,-30.04971944434192,-51.20573833694957,porto alegre,RS
18611,-22.87905780203625,-48.437244730473054,botucatu,SP
4902,-23.67017855398464,-46.7342848030758,sao paulo,SP
29308,-20.844320805999928,-41.11636499999997,cachoeiro de itapemirim,ES
71510,-15.727434715794312,-47.881616757833726,brasília,DF
36073,-21.769180103525866,-43.29907148112988,juiz de fora,MG
31510,-19.81032025451552,-43.9698144240868,belo horizonte,MG
2208,-23.48246466388716,-46.59665587538231,sao paulo,SP
70346,-15.814399500000002,-47.90169900000001,brasilia,DF
13145,-22.748335072162263,-47.17443438634657,paulínia,SP
78575,-11.261358612047893,-57.51227589059896,juara,MT
9450,-23.74812330862702,-46.39610420315393,rio grande da serra,SP
2202,-23.494047359974623,-46.59420639231918,sao paulo,SP
4852,-23.76157843658029,-46.66060232708181,sao paulo,SP
35195,-19.224492470227343,-42.48552235158053,belo oriente,MG
12980,-22.92893842528632,-46.27569852135666,joanopolis,SP
20521,-22.92872713211952,-43.23090625200534,rio de janeiro,RJ
86480,-23.62408704225104,-50.1704311969274,conselheiro mairinck,PR
64635,-6.818036093741583,-41.34643746634227,sao joao da canabrava,PI
89050,-26.91329543808304,-49.06108520626194,blumenau,SC
14804,-21.76869665605995,-48.20240317242338,araraquara,SP
79004,-20.478546316127023,-54.59868604798967,campo grande,MS
25050,-22.75967026026143,-43.29219359487645,duque de caxias,RJ
95840,-29.87774161280492,-51.69604647663182,triunfo,RS
9810,-23.717492174363244,-46.56392872651517,sao bernardo do campo,SP
17603,-21.941677926729565,-50.50527183514751,tupa,SP
19061,-22.131925166273632,-51.41307304096475,presidente prudente,SP
4560,-23.609083958160312,-46.68301961190825,sao paulo,SP
13483,-22.552856497085813,-47.45050077407814,limeira,SP
9370,-23.682311474897464,-46.46032107799064,mauá,SP
88090,-27.59564055620633,-48.593320361215376,florianópolis,SC
13456,-22.74705047611412,-47.36355338386633,santa bárbara doeste,SP
12236,-23.254004263113856,-45.90423120996592,sao jose dos campos,SP
35290,-18.779960548723057,-40.98212164033626,mantena,MG
74823,-16.713772765859986,-49.25596646916156,goiania,GO
6453,-23.496967777357565,-46.84950787358613,barueri,SP
6416,-23.485361417789576,-46.88733720126757,barueri,SP
76913,-10.905331505581977,-61.9117791352984,ji-parana,RO
70234,-15.810063002199271,-47.89094379772743,brasilia,DF
76360,-14.967145462711931,-49.54653437583326,itapaci,GO
96081,-31.74199489203073,-52.316052291015005,pelotas,RS
35053,-18.865204311203293,-41.97061068246872,governador valadares,MG
8032,-23.519076827770448,-46.429997708611744,sao paulo,SP
28941,-22.83356506301172,-42.09954018378407,sao pedro da aldeia,RJ
72876,-16.073584665587422,-47.98287630378127,valparaíso de goiás,GO
1251,-23.54627939993657,-46.67337757103707,sao paulo,SP
22640,-23.00852781390132,-43.30452174263297,rio de janeiro,RJ
13601,-22.36102874711861,-47.3786932618457,araras,SP
4830,-23.73213655536961,-46.700847806278446,sao paulo,SP
14820,-21.742360242530644,-48.11832213362352,americo brasiliense,SP
88511,-27.824278547319533,-50.31404217346645,lages,SC
98200,-28.630169864615187,-53.092993666438105,ibiruba,RS
9841,-23.7418372986324,-46.58058104856028,sao bernardo do campo,SP
41760,-12.996685694231193,-38.44516236220614,salvador,BA
15080,-20.833316358266977,-49.36790806266469,sao jose do rio preto,SP
80320,-25.4682727971032,-49.29601403176764,curitiba,PR
15550,-20.294937,-49.7303055,americo de campos,SP
20775,-22.889085442148883,-43.27594893808084,rio de janeiro,RJ
11675,-23.61862349999999,-45.42849675000001,caraguatatuba,SP
11520,-23.89520125154504,-46.42248534482012,cubatao,SP
32689,-19.9439027272702,-44.07802624204075,betim,MG
14025,-21.193461010271783,-47.81516719539498,ribeirao preto,SP
98200,-28.625193,-53.08697964828836,ibiruba,RS
29305,-20.85786924082521,-41.09691346058427,cachoeiro de itapemirim,ES
3324,-23.55092506597404,-46.56547699940449,sao paulo,SP
13203,-23.21143098389984,-46.86265776908645,jundiai,SP
96810,-29.714521705720006,-52.42589262255828,santa cruz do sul,RS
30672,-20.02416461009796,-44.02463928273265,belo horizonte,MG
27285,-22.493207902302505,-44.091913081453086,volta redonda,RJ
78870,-14.422090499999998,-54.04274325,paranatinga,MT
18900,-22.887511848904868,-49.62169757711764,santa cruz do rio pardo,SP
13561,-22.014251644392857,-47.899285441606885,sao carlos,SP
31030,-19.90417089286744,-43.930261377604005,belo horizonte,MG
69043,-3.0756076239252064,-60.0342720925616,manaus,AM
93044,-29.77308557234309,-51.12247547389844,sao leopoldo,RS
3730,-23.51252870774424,-46.54258379156326,sao paulo,SP
13780,-21.66096286945192,-46.73989850986008,divinolandia,SP
11630,-23.84550459612676,-45.40554464768271,ilhabela,SP
65090,-2.5290149999999585,-44.21143976099995,sao luis,MA
42805,-12.709961846208618,-38.3350285352459,camacari,BA
84043,-25.13814446601066,-50.15981557048882,ponta grossa,PR
15685,-20.0015865,-50.37840674999998,ouroeste,SP
1445,-23.573187460730544,-46.68804831917596,sao paulo,SP
5657,-23.619752585878484,-46.7165794740683,sao paulo,SP
74320,-16.693385125999953,-49.31138999999996,goiânia,GO
29090,-20.26253574271452,-40.26769076490286,vitoria,ES
11701,-24.00128878489817,-46.41380812406943,praia grande,SP
13178,-22.81111098389983,-47.19621568526743,sumare,SP
29041,-20.309494455870983,-40.31444450969937,vitoria,ES
9061,-23.64994689953254,-46.55658679600668,santo andre,SP
11250,-23.8171547499328,-46.04378985092368,bertioga,SP
20961,-22.899890922297804,-43.26419303996194,rio de janeiro,RJ
6341,-23.569558658077785,-46.8176995424064,carapicuiba,SP
61942,-3.891033363781371,-38.68184151077147,maranguape,CE
6843,-23.658831533729536,-46.861262119077765,embu,SP
24813,-22.74693559024803,-42.85979929486989,itaboraí,RJ
40170,-13.009797368078308,-38.50740212881733,salvador,BA
88802,-28.684976904433576,-49.37531334395183,criciuma,SC
89888,-27.0738338662357,-53.2505094184298,caibi,SC
97576,-30.88593212377332,-55.51367751557873,santana do livramento,RS
11930,-24.716874006254045,-47.886661243263234,pariquera-acu,SP
28635,-22.2268455,-42.521301,nova friburgo,RJ
35640,-19.2302451741316,-45.007985412707846,pompeu,MG
91030,-30.008937762132906,-51.167224990564925,porto alegre,RS
15140,-20.73573992627586,-49.581263547905344,bálsamo,SP
67113,-1.378239584801245,-48.41339174433804,ananindeua,PA
86600,-23.31241314351824,-51.37243141605538,rolandia,PR
14071,-21.112492336949565,-47.79959632638933,ribeirao preto,SP
28909,-22.892533639667068,-42.04758742059878,cabo frio,RJ
13214,-23.15787712882147,-46.91553640108952,jundiai,SP
26545,-22.805293500000005,-43.40029500000001,nilopolis,RJ
6813,-23.65245803586348,-46.80765888187691,embu das artes,SP
58084,-7.171653069940564,-34.912930468636404,joao pessoa,PB
16670,-22.09631268722842,-49.44243527779486,presidente alves,SP
37200,-21.23649155092621,-45.006248975301496,lavras,MG
28570,-21.76219546054129,-42.17419150717431,itaocara,RJ
85055,-25.373686356396608,-51.46714222785511,guarapuava,PR
39100,-18.23877990047667,-43.61031703519593,diamantina,MG
17380,-22.2788366543456,-48.12338759844922,brotas,SP
4538,-23.588296502077466,-46.68531787177562,sao paulo,SP
98920,-27.620763960979563,-54.31200715976267,horizontina,RS
14940,-21.76265105636412,-48.82575224373753,ibitinga,SP
39800,-17.85205334586083,-41.51300154689263,teofilo otoni,MG
39563,-16.096760743458475,-41.74684317606399,santa cruz de salinas,MG
65046,-2.545321452680464,-44.24041475728546,sao luis,MA
35500,-20.117572523636102,-44.88805973685134,divinópolis,MG
3554,-23.537412241185315,-46.50231889148247,são paulo,SP
14070,-21.10775952178431,-47.79258249708582,ribeirao preto,SP
22210,-22.92869889647412,-43.1741496998384,rio de janeiro,RJ
35700,-19.43134844303573,-44.24605320405232,sete lagoas,MG
14407,-20.49073175894003,-47.41324086102571,franca,SP
86990,-23.48214910970004,-51.80321454531304,marialva,PR
39260,-17.599436472419306,-44.73430268677215,varzea da palma,MG
18705,-23.095506782963223,-48.93319434031496,avare,SP
85851,-25.5346522976705,-54.58707354694472,foz do iguacu,PR
85856,-25.53511859561313,-54.56289903081603,foz do iguacu,PR
3404,-23.53883304662705,-46.54960490230249,sao paulo,SP
74633,-16.665617999999945,-49.23192049999996,goiania,GO
91060,-30.00433934722135,-51.14820051526343,porto alegre,RS
19802,-22.67310541271851,-50.42734920843674,assis,SP
70760,-15.753382891891206,-47.89447277234953,brasilia,DF
6033,-23.56212317142886,-46.78045124153304,osasco,SP
1331,-23.561652981678133,-46.65060357230651,sao paulo,SP
7092,-23.464253210658427,-46.54598022814358,guarulhos,SP
70660,-15.80629326097204,-47.93854017816524,brasília,DF
78890,-12.54814432571492,-55.73242465672482,sorriso,MT
32145,-19.884335473883045,-44.04445716033765,contagem,MG
45520,-13.889679999999942,-38.945209999999975,maraú,BA
45780,-15.651953050151532,-40.05889363173053,itarantim,BA
9760,-23.69194353937633,-46.541697284706885,sao bernardo do campo,SP
28930,-22.970303413266777,-42.028503638207695,arraial do cabo,RJ
35430,-20.403396563010784,-42.88991687848708,ponte nova,MG
11454,-23.94366910893028,-46.284355223337634,guaruja,SP
32400,-20.02858240837843,-44.05446872156016,ibirite,MG
36048,-21.690713304749245,-43.34628389938831,juiz de fora,MG
87020,-23.414725191934817,-51.94535111342139,maringa,PR
3280,-23.58436484263371,-46.53653445100703,sao paulo,SP
78850,-15.560210683636644,-54.295742236926415,primavera do leste,MT
20735,-22.902460868717192,-43.285765562727214,rio de janeiro,RJ
81315,-25.50257325116008,-49.32141686045444,curitiba,PR
20211,-22.91253171135093,-43.19877177309717,rio de janeiro,RJ
29906,-19.361943000000004,-40.04564175,linhares,ES
91230,-30.021212221478475,-51.12240267389912,porto alegre,RS
7180,-23.449978988467773,-46.464820096712245,guarulhos,SP
25976,-22.399983897787514,-42.96183161105224,teresopolis,RJ
89300,-26.129534388930075,-49.80640823069365,mafra,SC
5206,-23.402044210459955,-46.76694574161575,são paulo,SP
22250,-22.939729008338546,-43.17478254051019,rio de janeiro,RJ
18085,-23.47759758635883,-47.4296367409235,sorocaba,SP
15170,-20.626469239279267,-49.64625514667502,tanabi,SP
5641,-23.619406809048414,-46.739004993479135,sao paulo,SP
86050,-23.33426612948585,-51.17460198496812,londrina,PR
18706,-23.0835757778974,-48.92900726507656,avare,SP
78820,-15.951985306789764,-54.97301581077893,jaciara,MT
4003,-23.57085285163541,-46.649974897209255,sao paulo,SP
6341,-23.574205287390303,-46.81733306284551,carapicuiba,SP
14815,-21.95529118360563,-47.99635108923774,ibate,SP
29900,-19.39248903957344,-40.07003807804762,linhares,ES
50791,-8.081064535965211,-34.970835650864124,recife,PE
9310,-23.67062116763806,-46.45067352495831,maua,SP
28890,-22.51767184383053,-41.936222424420606,rio das ostras,RJ
96835,-29.74098482583089,-52.42736908372491,santa cruz do sul,RS
78175,-16.26373331841873,-56.62715720290693,poconé,MT
37790,-22.05767135524146,-46.439468978065634,ibitiúra de minas,MG
12423,-22.94906093752712,-45.501509303680265,pindamonhangaba,SP
4429,-23.682696768249752,-46.65845154662705,sao paulo,SP
97010,-29.69019219840301,-53.834920083911776,santa maria,RS
1007,-23.54917739938832,-46.63863497209885,sao paulo,SP
89677,-27.17334434262724,-51.732454999948935,jabora,SC
41680,-12.954636203621048,-38.40296032278442,salvador,BA
12916,-22.974149598389985,-46.54329082070518,braganca paulista,SP
21331,-22.869231065785623,-43.36245180238331,rio de janeiro,RJ
5863,-23.67328288343239,-46.76566491672922,sao paulo,SP
59655,-4.960484566241286,-37.13433881403624,areia branca,RN
22450,-22.987567780743223,-43.22975330267176,rio de janeiro,RJ
13617,-22.19411821819669,-47.36399511224047,leme,SP
4723,-23.64524193228113,-46.70359922952856,sao paulo,SP
5021,-23.53417066971553,-46.68508661102769,sao paulo,SP
75906,-17.803498830022523,-50.92421258335352,rio verde,GO
4331,-23.65410704801203,-46.65027344379366,sao paulo,SP
6033,-23.557468694756032,-46.7803394982531,osasco,SP
4347,-23.640892721622706,-46.6515016969242,sao paulo,SP
24800,-22.73430098905204,-42.84818345620813,itaborai,RJ
35420,-20.36830169969416,-43.42110251249348,mariana,MG
8320,-23.630183209861805,-46.47579945352368,sao paulo,SP
37044,-21.56096385798237,-45.42623310369245,varginha,MG
12602,-22.72274255037795,-45.12394158243404,lorena,SP
80610,-25.4682174343586,-49.29257008465574,curitiba,PR
5038,-23.514636762132906,-46.69990964862371,sao paulo,SP
20920,-22.89029027032722,-43.232642351636095,rio de janeiro,RJ
2552,-23.499531303364265,-46.6628554067459,sao paulo,SP
85504,-26.211108233253373,-52.66677147637772,pato branco,PR
13456,-22.755631342610755,-47.36839609527,santa bárbara d'oeste,SP
13940,-22.47136964880669,-46.60454644117769,aguas de lindoia,SP
20775,-22.898254358041385,-43.27785938718328,rio de janeiro,RJ
4402,-23.666624025535224,-46.66265147155059,sao paulo,SP
84400,-25.30924863276412,-51.16754861912181,prudentopolis,PR
1254,-23.541353224536888,-46.68224086164805,são paulo,SP
6150,-23.56810954426111,-46.806881620462754,osasco,SP
5006,-23.53440570690752,-46.66653798389982,sao paulo,SP
44713,-11.411778381303268,-40.1239116917418,quixabeira,BA
95560,-29.33861358661046,-49.73609522697412,torres,RS
80320,-25.461844933216863,-49.291880450827286,curitiba,PR
27910,-22.37693313327821,-41.77818334823391,macae,RJ
89220,-26.271522199001662,-48.87955311226844,joinville,SC
5204,-23.40795736219633,-46.752460605891805,são paulo,SP
17230,-22.239811321516505,-48.71866335519276,itapui,SP
8597,-23.499550887494525,-46.35747839310655,itaquaquecetuba,SP
94010,-29.930670220093493,-50.99844133804608,gravatai,RS
5728,-23.63280320739602,-46.739237617304966,sao paulo,SP
28908,-22.92469043585749,-42.03806053317038,cabo frio,RJ
29147,-20.33359370402645,-40.39195231125467,cariacica,ES
3429,-23.55359217707312,-46.53231646225974,sao paulo,SP
89896,-27.168797514354413,-53.71487458459541,itapiranga,SC
4142,-23.611654194010004,-46.63258761587511,sao paulo,SP
5892,-23.659451580904843,-46.78812545337294,sao paulo,SP
3057,-23.539364035807004,-46.59655738856826,sao paulo,SP
4606,-23.61560313044608,-46.66951181848347,são paulo,SP
4781,-23.68753366720537,-46.70331317790984,sao paulo,SP
13426,-22.76016310436259,-47.622815669311485,piracicaba,SP
17670,-22.072366946901607,-50.30548821848956,quintana,SP
12301,-23.2659328905296,-45.938402723020815,jacarei,SP
7241,-23.44306734693289,-46.42543701526345,guarulhos,SP
12420,-22.94497835288939,-45.46371952947366,pindamonhangaba,SP
13073,-22.88330378711986,-47.06518216610886,campinas,SP
97060,-29.69592871351098,-53.80021150218307,santa maria,RS
29750,-19.22336638389833,-40.85299698708976,pancas,ES
37470,-22.138894706450483,-45.05599923820808,sao lourenco,MG
23093,-22.8800475,-43.53703424999999,rio de janeiro,RJ
85802,-24.96425058670457,-53.4694692470137,cascavel,PR
37557,-22.26191281145908,-45.92391757923607,pouso alegre,MG
27285,-22.485632521236045,-44.0983938506838,volta redonda,RJ
85460,-25.45925195416302,-52.91703796024272,quedas do iguacu,PR
90850,-30.07098732416763,-51.21528320872517,porto alegre,RS
56906,-7.985290996251096,-38.31312031236368,serra talhada,PE
93819,-29.64128173265554,-50.99070491462901,sapiranga,RS
78780,-17.32101664434975,-53.22339997758102,alto araguaia,MT
36878,-20.975872307088924,-42.50986316314098,rosario da limeira,MG
37516,-22.44724492591775,-45.15842607562561,marmelopolis,MG
26050,-22.685332464082347,-43.4696708257501,nova iguacu,RJ
17780,-21.637253999999945,-51.00523099999997,lucelia,SP
87160,-23.340631500000004,-52.0897725,mandaguacu,PR
81530,-25.468716856223725,-49.22959817943904,curitiba,PR
96080,-31.753442158751263,-52.31597397945643,pelotas,RS
21853,-22.851768039125226,-43.49185952775692,rio de janeiro,RJ
32145,-19.88655449886064,-44.03392545534948,contagem,MG
6184,-23.53523385290549,-46.80645653012287,osasco,SP
26013,-22.74192105864224,-43.44318482249904,nova iguacu,RJ
60752,-3.8199195856168826,-38.561116640695694,fortaleza,CE
78780,-17.305991378323206,-53.22045479915676,alto araguaia,MT
81730,-25.510277317387683,-49.233065617561735,curitiba,PR
15104,-20.8695450839244,-49.306866861592106,são josé do rio preto,SP
31070,-19.887611606151605,-43.90181028267647,belo horizonte,MG
16360,-21.462168574360387,-49.945830761963535,avanhandava,SP
40110,-12.993881334518605,-38.51816470506885,salvador,BA
85960,-24.561091263847,-54.05832253213077,marechal candido rondon,PR
6656,-23.55823137358714,-46.92046309726,itapevi,SP
90010,-30.035017256188954,-51.23308601610017,porto alegre,RS
13454,-22.745397461752216,-47.38223071296472,santa bárbara d'oeste,SP
3031,-23.531433744688066,-46.62212765012247,sao paulo,SP
76974,-11.522804393945112,-61.01400666982812,espigao do oeste,RO
30855,-19.929767531507835,-44.01062694491884,belo horizonte,MG
85892,-24.85111943738544,-54.33511840029271,santa helena,PR
39401,-16.736823754919545,-43.87317928642739,montes claros,MG
78600,-15.884824428478396,-52.26744580643763,barra do garças,MT
75820,-18.31334591329525,-51.95946350872628,serranopolis,GO
45445,-13.945851,-39.10199175,camamu,BA
9185,-23.683506600611675,-46.54028264654624,santo andre,SP
79112,-20.44189627280871,-54.6624595696521,campo grande,MS
93228,-29.862899266922746,-51.11401495938541,sapucaia do sul,RS
84600,-26.23399954794279,-51.08908667782428,uniao da vitoria,PR
80240,-25.45272380806379,-49.288098995103546,curitiba,PR
5594,-23.581288477378965,-46.73986285928215,sao paulo,SP
87030,-23.417430267813025,-51.923060637607726,maringá,PR
13904,-22.712581980293155,-46.7704220342778,amparo,SP
29745,-19.106966999999948,-40.58535049999995,sao domingos do norte,ES
15650,-20.28743037842965,-50.40143964687346,estrela d'oeste,SP
4855,-23.76258479156327,-46.68490263099434,sao paulo,SP
15991,-21.62668631502177,-48.34351802169445,matao,SP
35171,-19.50870826051985,-42.63853768591443,coronel fabriciano,MG
24715,-22.79387694594656,-42.98754518697077,sao goncalo,RJ
17250,-22.07189650704825,-48.73938487572611,bariri,SP
78445,-12.874574999999949,-57.22099099999996,nova maringá,MT
20520,-22.924898424635074,-43.22477784277795,rio de janeiro,RJ
35790,-18.761492523304025,-44.431600664724655,curvelo,MG
40820,-12.927321077857185,-38.45836897937165,salvador,BA
88106,-27.59558112842502,-48.6442043168645,sao jose,SC
88133,-27.62827831927987,-48.65949188293721,palhoca,SC
89590,-26.92928735491813,-51.33544039939242,arroio trinta,SC
96201,-32.03605738263269,-52.086038082212994,rio grande,RS
13416,-22.71981355952456,-47.63934651001197,piracicaba,SP
9390,-23.662035548820384,-46.46139444915136,maua,SP
31330,-19.879887803768284,-43.99547431473256,belo horizonte,MG
21610,-22.87462984096028,-43.3733732510244,rio de janeiro,RJ
30550,-19.947749615875125,-43.98481037760399,belo horizonte,MG
28015,-21.77085215668903,-41.30754720306197,campos dos goytacazes,RJ
27345,-22.54474015985196,-44.17290478675191,barra mansa,RJ
8190,-23.48870639938831,-46.395040133360254,sao paulo,SP
1534,-23.56774373965611,-46.62621866362735,sao paulo,SP
62940,-5.107510600742004,-38.37109888249465,morada nova,CE
8121,-23.499675,-46.388967750000006,sao paulo,SP
69097,-3.0854165381412284,-59.9781454921125,manaus,AM
49260,-11.382317087917269,-37.661303020089285,umbauba,SE
76908,-10.874133867504876,-61.91765844675622,ji-paraná,RO
3182,-23.559645573403024,-46.59003264057362,sao paulo,SP
14200,-21.48013199106296,-47.55856051187956,sao simao,SP
13343,-23.09904751180099,-47.20574737745978,indaiatuba,SP
76330,-15.746565545513713,-49.33372353657385,jaragua,GO
27520,-22.46771795337295,-44.45944684041203,resende,RJ
